ts_iso,total_kb,peak_kb
16:01:03,16160,16160
16:01:04,73296,73296
16:01:04,94048,94048
16:01:05,1540768,1540768
16:01:05,4036352,4036352
16:01:06,13944400,13944400
16:01:06,16298288,16298288
16:01:07,16519104,16519104
16:01:07,16481536,16519104
16:01:08,16508112,16519104
16:01:08,16508864,16519104
16:01:09,16508928,16519104
16:01:10,16509744,16519104
16:01:10,16414208,16519104
16:01:11,16414944,16519104
16:01:11,0,16519104
