ts_iso,total_kb,peak_kb
15:59:40,15616,15616
15:59:40,112368,112368
15:59:41,160096,160096
15:59:41,996448,996448
15:59:42,2563264,2563264
15:59:42,3649056,3649056
15:59:43,3672368,3672368
15:59:43,3684240,3684240
15:59:44,0,3684240
